Label,text
0,"RT @Gojekmilitan: Alhamdulillah

Salut sama petugas @pln_123  Hujan banyak petir tetap memperbaiki Sambungan Listrik yang Putus akibat kena…"
1,@pln_123 ada apa yah didaerah saya dipadamkan listriknya
1,"@pln_123 info dong mati lampu sudah lama ini. Di desa wangunreja, kecamatan nyalindung, sukabumi. Kapan nyalanya ya"
1,"@pln_123 ini sudah pukul 22.56 pakai acara listrik padam di Sedati Gede Sidoarjo 
Kemarin malam 23.30 jg padam sampai 01.30
Gimana nih maksudnya 
@e100ss"
1,"Mohon bantuan nya,dari jam 20.35 lah kok malah diperpanjang  
@plnareakudus 
@infolistrikdjty 
@pln_123 
@infoPLN https://t.co/2XfhXkalBW"
0,RT @A_Rijall: @faruqbinaffan @pln_123 Pindah ke sini dulu guru https://t.co/lswq6thZf6
0,@pln_123 malam min...apakah benar ini surat pengumuman dari PLN ??? https://t.co/r5CDBPI1xl
0,@pln_123 mohon maaf ini tidak ada pemberitahuan kenapa mati lampu daerah cengkareng timur. Mohon segera ditindak lanjutin..gerah..bumil mau pingsan
0,Halo @pln_123 https://t.co/GCudmYUf5f
1,"Listrik saya padam, bisakah @pln_123 Membntu kami untuk sgr terjun ?"
1,"tolong pak @pln_123 ,di perum poris indah blok D Kel cipondoh indah tangerang, Mati Lampu ! @SonoraFM92 @erickthohir @jokowi"
0,"@pln_123 @situkangmantau Min, cek dm saya. Mohon ditanggapi segera"
0,@pln_123 @LuciferInChaos Tolong cek DM atau balas mention saya min. Terimakasih
1,"@pln_123 Mohon perhatian pemadaman listrik wilayah kp Utan RT 13 RW 12 dan sekitarnya sejak jam 9 malam, apakah sudah dlm penanganan"
0,chat petugas lewat aplikasi jg ga ada tanggapan @pln_123
1,"@pln_123 halloo min minta tolong u/ daerah prambatan kidul (selatan man2kudus) kenapa akhir” ini sering mati listrik dadakan ya. Mana hidupnya lama bgt. Lucu ik yg mati cuma sederetanku aja, belakang rumah hidup lo. Minta tolong ya min segera dihidupin. Thks"
1,@pln_123 min ini keluhan tetangga saya dari kemarin belum ada tindak lanjutnya. Tidak ada orang yg datang kerumahnya untuk perbaikan. Bagaimana layanan dilapangan bisa seperti ini min? https://t.co/tilxUSy9Tj
0,RT @Mey_MeynieJT: Halo pak Doktor Harry Patria gini amat yak membenci presiden @jokowi Padahal anda adalah seorang Comitte di PLN @pln_123…
1,"@pln_123 min tolong dong segera d tangani pemadaman listrik d gg nanas, singocandi, kudus. sudah satu jam mati gak ada perkembangan."
0,RT @PTopad: @pln_123 https://t.co/r8IHvayB2s
0,@pln_123 cek dm min. listriknya mati satu jalur ini.. zzzz
0,"Persyaratan yg dibawa apa saja min?
Rek. Yg dlu atas nama nya sdh almarhum @pln_123: @GungPram   Untuk mewujudkan PLN terbaik, mohon tidak memberikan tambahan biaya kepada petugas kami. Agar semua mak… https://t.co/Nf3Tqw5IE3"
1,"@ganjarpranowo  Den Ganjar, listrik kami padam setiap hari den. Hanya di wilayah kami den. Desa Banyumeneng Kecamatan Mranggen Kabupaten Demak. @pln_123
@infolistrikdjty"
1,Dari jam 3 sore sampe sekarang dong pemadaman listriknya. Ini @pln_123 gak bisa ditindaklanjuti kah atau gimana? Solusi dong..
0,@WagimanDeep212_ @lukman_katili segera hubungi @pln_123
0,"@pln_123 Hi PLN, help cek DM ya.. td dah lapor via 123 jg perihal konsleting listrik. 

Thank You"
1,"@erickthohir selamat malam pak erick, bapak menteri BUMN yang baik tolonglah kami. listrik di wilayah kami setiap hari padam. Hanya di wilayah kami. Desa Banyumeneng Karangan, Kecamatan Mranggen Kabupaten Demak. Maju terus pak erick. @pln_123"
1,"@pln_123 pondok ungu permai sebagian, bekasi Utara listrik mati tiba² tanpa pemberitahuan
Tolong monitor @KemenBUMN @erickthohir @jokowi @pemkotbekasi"
1,"@pln_123  @infolistrikdjty  halo PLN, listrik di wilayah kami setiap hari padam. Hanya di wilayah kami. Desa Banyumeneng Karangan, Kecamatan Mranggen Kabupaten Demak."
0,@sagung_r @pln_123 Nnt dm Kak Fryscillia saya teruskan ke pak sagung
1,"Malam min @pln_123 listriknya padam lg min didaerah cengkareng timur, jakbar. Kasian ada org yg sakit dirmh saya + dede bayi😭. Tolong dibantu push min,saya udh lapor td via telpon tp sampai sekarang blm nyala². Daerah sini sering sekali padam listrik 🤧 https://t.co/6jY7kVmeOV"
1,"@pln_123 halo melaporkan kematian listrik di daerah purwodadi grobogan jawa tengah, area danyang dan sekitarnya, tadi jam 9, ada gangguan apa ya? Dan penyelesaian jam berapa?"
0,"Udah 4 hari beruntun tiap abis isya listrik mati,, ada apa ini @pln_123"
0,Mati lampu terooooosss @pln_123. 😵😵😵
1,@pln_123 Mohon dapat dibantu nomor tiket 1484296. Sudah berlarut-larut tanpa solusi.
0,"Min @pln_123 , mohon informasi CS ICONNET yg fast response"
0,@pln_123 min klo ada masalah saat pembelian token kenapa ya. Karena tidak bisa di beli
1,@pln_123 mast min jni kenapa mati listrik cuma sejalur ya? tetangga sebelah ada yg mati ada yg nyala jg
0,@pln_123 tolong balas dm saya penting
0,@pln_123 min laporan saya sudah 3 jam lebih ga dateng2 perugas. Di telfon sop nya 3 jam tapi ini ga datang2. Sudah telfon 2 kali juga ke CS
1,"520012927622 atas nama evi dwi Christiana desa jepang rt 4 rw 8 kec mejobo kudus jateng
Listrik padam tetangga juga
@plnareakudus
@infolistrikdjty 
@pln_123 https://t.co/MJkQK6lw2o"
0,Tolong cek DM @pln_123
0,@Prince_MahaRock @pln_123 Sama punya saya juga gagal terus
0,"@pln_123 terkait pengaduam kenapa slow response, tapi terkait tagihan/token kalau pelanggan tidak siap tidak tunggu lama."
1,"Mati lampu dari jam 4 sore, sempet nyala cuma sebentar. Gimana nih @pln_123 barisan sebrang rumah malah udah nyala"
0,@faisalhijjaz @pln_123 Heeh psu bisi konslet nyala mati nyala mati ngedadak
0,"Min @pln_123 ini knp meteran gak bisa diisi token (gagal) 
padahal nomor token sudah benar dan tidak overlimit."
0,"@pln_123 halo, untuk pengaduan tegangan listrik tidak stabil bisa ke mana ya? Thank you."
0,nyala mati nyala mati kulkasku njebluk @pln_123
0,"@pln_123 cek DM ya, Terima kasih 🙏"
0,RT @pln_dinoyo: @jerseymalang_ @infodinoyo @infomalang @pln_123 @plndinoyo @infoPLN @plnmalang https://t.co/AAyWYgeeCM
0,Hallo min @pln_123 tolong cek DM ya
0,"@pln_123 kota madiun, rmh saya di jalan campursari, setiap setelah magrib menyalakan ac pasti listriknya jeglek... pdhl siang atau sudah lewat jam 10 malam tdk apa2 dgn beban lbh banyak. daya dirmh 3600 watt. Mohon cek apakah ada penurunan voltase didaerah saya atau bagaimana?"
0,"Halo Kak @pln_123, saya baru mau daftar PLN Mobile kenapa nomer handphone saya sudah ada yang menggunakan ya?, Bisa balas melalui DM ya https://t.co/7f4zc65QWD"
0,"@pln_123 Malem min Pln, mau nanya apa di daerah di jln kartini Cirebon kota ada pemadaman min ??listrik mati sekitar jam 19:00???"
0,"@pln_123 halo mimin PLN yg baik, pls cek DMnya ya"
0,@Jabelaii @pln_123 Beli genZ
1,"@pln_123 Halo Min saya mau melaporkan sekring token saya kena petir jadi bingung saya, No id:32025184600 an Adhitia Kuncoro dan sekarang kondisi lampu mati, mohon dibantu Terima kasih https://t.co/ZZPgswKHrU"
0,@samramoli @BudyJember @pln_123 Bisnis terus ..... Dagang terus ....
0,"@pln_123 @enchalss Cek DM min please, udah sekarat nih token listrik"
0,@pln_123 Cek DM lagi kak
0,Halo min @pln_123 mau tanya kalo listrik dengan daya 2200 abodemen nya brp ya? Krn rumah saya kosong dan tiap bln bayar dengan nominal sekitar 200k.
0,Mati lampu mulu tapi tagihan listrik gaada potongan malah naik;( @pln_123
1,"@pln_123 mati listrik dua malam berturut-turut di jam yang sama
Untuk wilayah desa merden bagian timur kecamatan purwanegara kabupaten banjarnegara"
0,Min @pln_123 Ini mati listrik udah dari siang ga ada info apa2.
0,@pln_123 Biaya nya kak? Masih promo gratis kah?
0,@pln_123 kenapa skarang jadi sering padam listrik di jalan menteng bata pasar manggis. Bisa sehari sampe 3x. Ada apa ini?
0,"@pln_123 Laporan ""TEGANGAN DROP (Lagi)- BANYAK RUMAH""
1. Tegangan terukur 160-170 volt sejak jam 18.15

2. Alamat: 

3. Nomer saya yg bisa dihubungi:

Aplikasi PLN Mobile tidak ada format untuk laporan tegangan drop.

Info lengkap cek DM"
0,Duhhh demen bgt @pln_123 ngejepretin listrik... 🥴🥴☹️ https://t.co/jBBPmvOs2V
0,Terimakasih dan mohon segera ditindak lanjuti @pln_123 soalnya ini sering sekali terjadi🙏
1,"@pln_123 mati listrik di kp pondok bahar (gg. masjid al maghfiroh rt 002 rw 01), karang tengah, kota tangerang, banten 15158. Tolong di-up yaa min."
1,"@pln_123 Selamat malam, melaporkan terjadi padam listrik di lingkungan Kalikhetek Utara Desa Sedayulawas Kecamatan Brondong Kabupaten Lamongan Jawa Timur.
Mohon segera ditangani"
